sedol,fqenddt,next_trading_date
481835,2015-06-30,2015-08-07
481835,2015-12-31,2016-03-16
481835,2016-03-31,2016-05-13
482066,2014-09-30,2014-10-22
482066,2014-12-31,2015-02-24
482066,2015-03-31,2015-04-21
482066,2016-03-31,2016-04-28
482066,2017-03-31,2017-04-27
482066,2017-06-30,2017-07-26
482066,2017-09-30,2017-10-25
482066,2017-12-31,2018-02-27
482066,2018-03-31,2018-04-24
482066,2019-03-31,2019-04-29
482066,2019-12-31,2020-03-13
483477,2017-06-30,2017-09-01
483477,2017-12-31,2018-02-16
483477,2018-03-31,2018-05-18
483477,2018-06-30,2018-07-31
483477,2018-09-30,2018-11-16
483477,2018-12-31,2019-02-15
490773,2012-06-30,2012-07-31
490773,2012-12-31,2013-03-15
490773,2015-06-30,2015-09-04
490773,2015-12-31,2016-03-11
490773,2017-12-31,2018-03-01
490773,2018-06-30,2018-09-07
490773,2018-12-31,2019-03-01
490773,2019-06-30,2019-09-06
491603,2012-09-30,2012-11-01
491603,2012-12-31,2013-02-25
491603,2013-03-31,2013-05-06
491603,2013-06-30,2013-07-29
491603,2013-09-30,2013-11-01
491603,2013-12-31,2014-02-21
491603,2014-03-31,2014-05-01
491603,2014-06-30,2014-07-28
491603,2014-09-30,2014-10-30
491603,2014-12-31,2015-02-20
491603,2015-03-31,2015-05-01
491603,2015-06-30,2015-07-27
491603,2015-09-30,2015-10-30
491603,2015-12-31,2016-02-19
491603,2016-03-31,2016-05-05
491603,2016-06-30,2016-07-28
491603,2016-09-30,2016-11-04
491603,2016-12-31,2017-02-17
491603,2017-03-31,2017-05-05
491603,2017-06-30,2017-07-31
491603,2017-09-30,2017-11-06
491603,2017-12-31,2018-02-19
491603,2018-03-31,2018-05-07
491603,2018-06-30,2018-08-02
491603,2018-09-30,2018-11-01
